Name,Maths,Biology,English,Physics,Chemistry,Hindi
Praneeta,86,75,98,51,60,53
Megha,61,54,49,71,47,65
Jikku,40,75,48,91,98,53
Naveen,79,46,59,77,85,45
Praveen,79,57,77,95,76,82
Satwik,78,68,79,88,48,90
Aravind,51,44,63,63,88,99
Teja,47,50,62,44,51,53
Rohit,88,75,73,91,51,66
Mahesh,95,40,73,65,54,98
Manish,71,75,67,74,54,65
Sumi,71,49,43,75,72,94
Manasa,99,62,68,97,99,40
Sandeep,59,76,82,87,65,80
Vineeta,41,42,68,78,40,82
Rohita,61,77,96,96,64,66
Sagar,98,72,68,99,50,66
Vivek,65,66,93,56,99,74
Manodhar,98,68,97,53,74,98
Priya,48,54,52,81,64,72
Raja,66,90,59,78,82,53
Harshitha,85,70,55,50,62,40
Mehuli,63,45,90,99,81,76
Sourav,91,59,72,63,95,98
Joshua,46,95,84,80,40,57
Sreeja,63,100,72,49,77,50
Divya,90,90,60,71,89,65
Bhavana,59,75,92,77,89,92
Rajasekhar,79,41,59,42,84,98
Maruti,78,43,95,63,67,50
